1,6824,27,26
2,8041,16,119
3,790,64,110
4,1917,17,16
5,6700,15,40
6,6457,81,94
7,9123,10,16
8,2654,32,7
9,1130,73,24
10,6278,59,57
11,7869,84,103
12,9280,8,10
13,5391,58,37
14,7066,63,54
15,8180,59,70
16,1155,82,81
17,9287,6,63
18,2192,50,19
19,4428,61,120
20,9005,44,54
21,7010,65,86
22,5459,74,118
23,2184,50,86
24,8672,34,116
25,5623,44,41
26,968,17,99
27,6840,17,105
28,5267,52,14
29,6745,52,16
30,3187,59,36
31,9782,31,27
32,6482,88,41
33,8643,60,71
34,4751,31,48
35,9195,49,17
36,5619,98,15
37,9701,99,71
38,6523,57,55
39,2590,36,78
40,9755,99,46
41,2758,79,94
42,644,2,122
43,6291,6,63
44,7497,42,10
45,3286,53,82
46,5618,16,52
47,1188,97,46
48,6829,86,81
49,5525,76,120
50,2918,74,26
51,2155,63,115
52,2067,38,13
53,2988,21,6
54,5937,41,49
55,7584,17,80
56,3635,51,57
57,1400,26,41
58,3248,21,64
59,5272,41,33
60,6245,5,58
61,8121,11,83
62,333,26,112
63,9826,72,111
64,2251,84,96
65,1763,38,123
66,2893,84,5
67,8556,61,48
68,3611,14,101
69,2094,72,12
70,41,5,20
71,4589,98,120
72,4578,98,29
73,6708,47,120
74,9102,15,62
75,8653,59,47
76,9818,73,54
77,6830,79,43
78,3276,89,81
79,5901,42,100
80,7118,32,44
81,961,29,83
82,3009,16,9
83,9004,78,98
84,8964,45,85
85,8301,94,65
86,3675,76,43
87,9271,35,96
88,9412,75,110
89,5218,17,5
90,8978,58,13
91,1409,13,75
92,3731,18,85
93,5057,21,88
94,9288,25,84
95,9692,36,17
96,2385,75,63
97,1974,28,95
98,4004,56,58
99,6367,55,96
100,9925,42,52
101,5502,44,73
