1,252,46,124
2,289,85,62
3,704,58,36
4,15,15,38
5,440,41,27
6,452,17,124
7,15,44,121
8,607,2,85
9,814,25,70
10,198,66,74
11,999,30,122
12,476,85,19
13,993,39,72
14,992,19,73
15,1000,41,111
16,88,2,4
17,684,6,83
18,732,69,52
19,770,60,118
20,573,24,21
21,969,37,112
22,963,94,99
23,431,72,25
24,555,24,124
25,694,44,49
26,692,27,123
27,366,14,58
28,872,15,49
29,265,58,117
30,948,7,73
31,787,73,97
32,194,77,113
33,662,89,78
34,724,8,113
35,226,98,122
36,872,49,67
37,990,85,97
38,946,71,127
39,537,54,110
40,175,65,47
41,623,68,42
42,270,82,56
43,784,41,42
44,811,74,76
45,290,4,38
46,628,49,18
47,446,44,69
48,536,24,118
49,622,47,83
50,15,1,85
51,856,51,89
52,853,89,57
53,986,27,91
54,770,44,25
55,208,50,15
56,173,86,73
57,690,52,20
58,641,41,102
59,175,54,6
60,919,56,64
61,824,91,102
62,516,52,24
63,293,79,80
64,697,36,62
65,573,96,50
66,464,34,30
67,539,49,2
68,755,48,67
69,670,38,17
70,829,28,17
71,664,11,72
72,414,85,116
73,110,37,126
74,512,49,19
75,235,90,61
76,117,7,30
77,209,59,100
78,276,5,20
79,390,12,58
80,332,8,73
81,429,68,41
82,339,42,96
83,849,63,100
84,223,67,51
85,752,63,54
86,369,2,23
87,412,24,44
88,857,38,20
89,458,37,71
90,41,32,44
91,258,19,5
92,54,9,77
93,739,16,91
94,788,82,68
95,572,62,93
96,984,3,39
97,489,71,40
98,136,33,21
99,508,45,25
100,800,22,25
101,431,84,26
102,897,32,93
103,930,53,37
104,850,14,69
105,370,77,22
106,548,10,54
107,935,2,13
108,752,83,110
109,59,75,110
110,798,78,76
111,405,24,88
112,533,53,105
113,654,97,11
114,579,16,2
115,632,41,28
116,119,59,60
117,722,80,37
118,31,75,53
119,170,6,5
120,485,9,114
121,180,62,8
122,323,54,9
123,780,63,75
124,410,81,110
125,447,2,46
126,683,94,116
127,870,37,55
128,321,14,10
129,75,81,77
130,596,84,100
131,101,14,45
132,66,80,56
133,631,54,81
134,151,53,119
135,864,68,26
136,157,78,90
137,477,71,66
138,893,84,6
139,390,69,111
140,899,16,48
141,661,41,35
142,182,62,127
143,566,25,60
144,208,22,18
145,516,82,119
146,520,30,102
147,506,95,92
